,subclass_ofLabel
4844,construction (economic activity)
4845,film
4846,building material
4847,tennis
4848,None
4849,music festival
4850,traffic
4851,None
4852,roast beef
4853,None
4854,clothing
4855,None
4856,None
4857,None
4858,None
4859,None
4860,None
4861,None
4862,None
4863,musical
4864,museum
4865,music of Jamaica
4866,None
4867,transport company
4868,None
4869,None
4870,None
4871,law
4872,salute
4873,film
4874,Romanesque art
4875,Romanesque art
4876,None
4877,None
4878,None
4879,dance
4880,None
4881,forme fixe
4882,food
4883,building material
4884,None
4885,drink
4886,textile
4887,None
4888,Plantae
4889,None
4890,None
4891,None
4892,None
4893,None
4894,animation
4895,fish
4896,None
4897,ball game
4898,athlete
4899,None
4900,cook
4901,city
4902,government agency
4903,None
4904,None
4905,None
4906,None
4907,poetry
4908,film
4909,wall
4910,None
4911,folk dance
4912,None
4913,None
4914,None
4915,None
4916,None
4917,None
4918,clothing
4919,None
4920,political party
4921,historicism
4922,writer
4923,sport
4924,None
4925,None
4926,geographic region
4927,None
4928,avant-garde
4929,None
4930,None
4931,None
4932,None
4933,tradition
4934,concrete block
4935,None
4936,None
4937,None
4938,None
4939,None
4940,None
4941,mountain
4942,prostitution
4943,ritual
4944,None
4945,folk dance
4946,None
4947,rally
4948,None
4949,None
4950,courtyard
4951,None
4952,None
4953,None
4954,None
4955,None
4956,dish
4957,Sunni Islam
4958,None
4959,tradition
4960,tree
4961,None
4962,fish
4963,salad
4964,None
4965,fish
4966,architectural structure
4967,communication
4968,greeting
4969,None
4970,monotheism
4971,None
4972,None
4973,None
4974,None
4975,ritual
4976,None
4977,None
4978,None
4979,None
4980,ritual
4981,None
4982,animation
4983,gun'yaku
4984,None
4985,None
4986,None
4987,None
4988,None
4989,None
4990,None
4991,None
4992,clothing
4993,clothing
4994,dish
4995,concrete
4996,None
4997,None
4998,None
4999,None
5000,city
5001,death by burning
5002,None
5003,None
5004,None
5005,sauce
5006,cook
5007,None
5008,government
5009,traditional costume
5010,building
5011,None
5012,milestone
5013,None
5014,None
5015,None
5016,None
5017,None
5018,building material
5019,None
5020,tree
5021,None
5022,None
5023,None
5024,schism
5025,tradition
5026,None
5027,food
5028,musical group
5029,None
5030,None
5031,None
5032,None
5033,None
5034,folk dance
5035,food
5036,folk tale
5037,None
5038,None
5039,None
5040,gesture
5041,None
5042,museum
5043,None
5044,religious movement
5045,None
5046,Plantae
5047,motion
5048,None
5049,None
5050,automobile manufacturer
5051,actor
5052,writer
5053,animation technique
5054,trail
5055,early Christian art and architecture
5056,None
5057,echinoderm as food
5058,textile
5059,None
5060,transport
5061,textile
5062,None
5063,river
5064,None
5065,None
5066,None
5067,dish
5068,None
5069,philosophy
5070,politician
5071,law
5072,None
5073,None
5074,world view
5075,government agency
5076,policy
5077,tree
5078,book
5079,None
5080,construction (economic activity)
5081,book
5082,publisher
5083,None
5084,None
5085,None
5086,Plantae
5087,rapid transit
5088,documentary
5089,None
5090,politician
5091,None
5092,politician
5093,film producer
5094,None
5095,None
5096,policy
5097,organism
5098,None
5099,None
5100,tree
5101,Byzantine architecture
5102,tradition
5103,None
5104,None
5105,None
5106,animal husbandry
5107,dance
5108,None
5109,building
5110,None
5111,food
5112,sideman
5113,construction (economic activity)
5114,None
5115,None
5116,None
5117,None
5118,None
5119,religious leader
5120,folk dance
5121,museum
5122,ritual
5123,None
5124,None
5125,None
5126,poet
5127,building
5128,tree
5129,None
5130,Sunni Islam
5131,architectural structure
5132,None
5133,None
5134,None
5135,religious activity
5136,instrumentalist
5137,None
5138,None
5139,transport
5140,None
5141,sport
5142,costume accessory
5143,poet
5144,architectural structure
5145,drink
5146,None
5147,None
5148,None
5149,None
5150,Animalia
5151,None
5152,sacred architecture
5153,construction (economic activity)
5154,transport company
5155,None
5156,None
5157,hot sauce
5158,manga
5159,sport
5160,film
5161,writer
5162,sports team
5163,drama film
5164,sports equipment
5165,None
5166,religious movement
5167,None
5168,politician
5169,building material
5170,None
5171,None
5172,textile
5173,None
5174,project
5175,None
5176,None
5177,None
5178,soup
5179,None
5180,None
5181,None
5182,gesture
5183,None
5184,None
5185,None
5186,film
5187,cutout animation
5188,textile
5189,painting
5190,None
5191,None
5192,None
5193,None
5194,None
5195,None
5196,political party
5197,None
5198,None
5199,None
5200,instrumentalist
5201,None
5202,poet
5203,None
5204,None
5205,None
5206,magazine
5207,None
5208,None
5209,sports equipment
5210,building
5211,skiing
5212,None
5213,mountain
5214,None
5215,None
5216,None
5217,slavery
5218,ideology
5219,sports equipment
5220,None
5221,None
5222,None
5223,figure skating national championships
5224,None
5225,art film
5226,film
5227,neighborhood
5228,None
5229,drink
5230,None
5231,city
5232,urban planning
5233,None
5234,drink
5235,transport
5236,tree
5237,None
5238,None
5239,None
5240,Animalia
5241,dance
5242,None
5243,religious movement
5244,educational film
5245,None
5246,policy
5247,philosophy
5248,fiction film
5249,None
5250,kiss
5251,None
5252,political party
5253,None
5254,sports club
5255,None
5256,None
5257,None
5258,community
5259,book
5260,building material
5261,None
5262,None
5263,None
5264,None
5265,drink
5266,None
5267,book
5268,clothing
5269,musician
5270,militarism
5271,composer
5272,musician
5273,None
5274,None
5275,None
5276,None
5277,ancient Greek philosophy
5278,folk dance
5279,None
5280,None
5281,soup
5282,None
5283,None
5284,dish
5285,film
5286,poetry
5287,building
5288,None
5289,None
5290,None
5291,law
5292,None
5293,None
5294,None
5295,cooking oil
5296,government agency
5297,None
5298,furniture
5299,comics
5300,None
5301,None
5302,None
5303,tree
5304,pork
5305,None
5306,dumpling
5307,underwater diving
5308,archive
5309,government agency
5310,writer
5311,sport
5312,musician
5313,musical group
5314,None
5315,religion or world view
5316,philosophical movement
5317,private
5318,poetry
5319,city
5320,None
5321,film
5322,athlete
5323,film
5324,sport
5325,athlete
5326,functional beverage
5327,sport
5328,sports organization
5329,clothing
5330,dance
5331,satire
5332,sports equipment
5333,None
5334,river
5335,None
5336,None
5337,thoroughfare
5338,folk dance
5339,None
5340,None
5341,None
5342,None
5343,actor
5344,mode of transport
5345,None
5346,None
5347,comedy
5348,None
5349,None
5350,None
5351,None
5352,None
5353,artillery fort
5354,ritual
5355,None
5356,None
5357,None
5358,artist
5359,None
5360,None
5361,politician
5362,None
5363,city
5364,None
5365,None
5366,musical group
5367,concrete
5368,frame construction
5369,guitarist
5370,None
5371,None
5372,None
5373,None
5374,None
5375,None
5376,None
5377,None
5378,None
5379,physical tool
5380,None
5381,megalith
5382,None
5383,None
5384,None
5385,None
5386,None
5387,None
5388,comics
5389,artist
5390,artist
5391,None
5392,None
5393,folk dance
5394,urban art
5395,street art
5396,athlete
5397,food
5398,jazz
5399,None
5400,sports equipment
5401,None
5402,transport
5403,None
5404,None
5405,student
5406,transport
5407,None
5408,pasta
5409,None
5410,None
5411,None
5412,politician
5413,city
5414,neighborhood
5415,law
5416,Plantae
5417,administrative territorial entity
5418,None
5419,Kharijites
5420,drink
5421,clothing
5422,actor
5423,clothing
5424,None
5425,None
5426,Olympic Games
5427,None
5428,landform
5429,None
5430,None
5431,magazine
5432,comics
5433,None
5434,None
5435,None
5436,bookstore
5437,None
5438,None
5439,tournament
5440,musical group
5441,speculative fiction film
5442,None
5443,puppetoon animation
5444,model
5445,speculative fiction film
5446,actor
5447,Aglipayan bishop
5448,None
5449,sport film
5450,voluntary association
5451,sports equipment
5452,athlete
5453,None
5454,None
5455,city
5456,None
5457,None
5458,None
5459,None
5460,None
5461,None
5462,None
5463,None
5464,None
5465,None
5466,drink
5467,None
5468,swimsuit
5469,athlete
5470,None
5471,ban
5472,adventure film
5473,folk dance
5474,None
5475,organism
5476,information means
5477,process
5478,None
5479,None
5480,tree
5481,None
5482,game of skill
5483,Olympic sports discipline event
5484,racket
5485,painting
5486,food
5487,sport
5488,team
5489,folk dance
5490,None
5491,None
5492,stew
5493,None
5494,None
5495,None
5496,None
5497,None
5498,textile
5499,tradition
5500,Animalia
5501,None
5502,Plantae
5503,musical theater
5504,musical group
5505,None
5506,Animalia
5507,None
5508,sleeveless shirt
5509,book
5510,philosophy
5511,visual arts
5512,textile
5513,embroidered fabric
5514,mixture
5515,building material
5516,musical group
5517,None
5518,None
5519,None
5520,None
5521,None
5522,None
5523,music festival
5524,folk dance
5525,None
5526,sacrifice
5527,None
5528,zoologist
5529,tree
5530,food
5531,artist
5532,sport
5533,gymnastics
5534,None
5535,government
5536,modern paganism
5537,magazine
5538,comics
5539,music of Texas
5540,music festival
5541,None
5542,None
5543,actor
5544,film
5545,television
5546,television
5547,television
5548,television
5549,actor
5550,None
5551,poetry
5552,None
5553,folk dance
5554,None
5555,None
5556,freight car
5557,None
5558,athlete
5559,poetry
5560,sports equipment
5561,None
5562,None
5563,mate
5564,territory
5565,None
5566,stone
5567,Animalia
5568,poetry
5569,None
5570,building material
5571,political party
5572,monument
5573,None
5574,comics
5575,learned society
5576,textile
5577,None
5578,greeting
5579,poetry
5580,None
5581,teaching method
5582,None
5583,food
5584,None
5585,None
5586,None
5587,None
5588,None
5589,None
5590,None
5591,None
5592,None
5593,None
5594,None
5595,None
5596,None
5597,None
5598,None
5599,None
5600,None
5601,None
5602,None
5603,None
5604,None
5605,None
5606,None
5607,None
5608,None
5609,literary award
5610,The Holocaust
5611,None
5612,None
5613,None
5614,None
5615,None
5616,None
5617,None
5618,None
5619,None
5620,None
5621,None
5622,None
5623,None
5624,None
5625,None
5626,None
5627,None
5628,recurring sporting event
5629,None
5630,None
5631,None
5632,None
5633,None
5634,None
5635,None
5636,None
5637,None
5638,None
5639,None
5640,None
5641,None
5642,None
5643,None
5644,None
5645,None
5646,None
5647,None
5648,None
5649,None
5650,organization
5651,adaptation
5652,artist
5653,painting
5654,religion
5655,naturalism
5656,food
5657,None
5658,literary award
5659,None
5660,None
5661,Christianity
5662,philosophy
5663,None
5664,ritual
5665,additive
5666,None
5667,political party
5668,performance
5669,None
5670,None
5671,None
5672,None
5673,None
5674,None
5675,None
5676,None
5677,textile
5678,None
5679,tradition
5680,greeting
5681,None
5682,architectural structure
5683,derisive hand gesture
5684,None
5685,None
5686,fish
5687,None
5688,painting
5689,None
5690,None
5691,None
5692,Tiger I
5693,None
5694,building material
5695,None
5696,tree
5697,water transport
5698,None
5699,None
5700,None
5701,None
5702,None
5703,textile
5704,None
5705,singer
5706,None
5707,Currency transaction tax
5708,None
5709,blood sport
5710,None
5711,None
5712,None
5713,None
5714,None
5715,None
5716,None
5717,None
5718,tree
5719,None
5720,None
5721,None
5722,None
5723,None
5724,None
5725,None
5726,None
5727,building
5728,None
5729,city
5730,Plantae
5731,traditional costume
5732,building material
5733,steam engine
5734,None
5735,traditional costume
5736,traditional costume
5737,traditional costume
5738,traditional costume
5739,traditional costume
5740,traditional costume
5741,folk dance
5742,traditional costume
5743,Catholicism
5744,law
5745,drama
5746,short film
5747,cook
5748,None
5749,None
5750,None
5751,river
5752,meditation
5753,None
5754,property
5755,writer
5756,None
5757,political party
5758,political party
5759,transport infrastructure
5760,transport
5761,transport
5762,transport
5763,transport
5764,None
5765,transport
5766,transport
5767,None
5768,None
5769,transport
5770,transport
5771,transport
5772,transport
5773,transport
5774,transport
5775,None
5776,transport
5777,transport
5778,transport
5779,transport
5780,transport
5781,transport
5782,None
5783,None
5784,transport
5785,transport
5786,None
5787,None
5788,None
5789,None
5790,museum
5791,None
5792,tree
5793,sport
5794,None
5795,None
5796,None
5797,benchmark
5798,short film
5799,tradition
5800,rock music
5801,geographic location
5802,None
5803,None
5804,poet
5805,None
5806,Plantae
5807,poet
5808,clothing
5809,poet
5810,visual arts
5811,tradition
5812,None
5813,folk dance
5814,None
5815,None
5816,production company
5817,None
5818,None
5819,None
5820,musical group
5821,None
5822,mountain
5823,mausoleum
5824,textile
5825,None
5826,None
5827,athlete
5828,government agency
5829,None
5830,dish
5831,government
5832,work
5833,tradition
5834,rock and roll
5835,None
5836,None
5837,None
5838,religious leader
5839,food
5840,None
5841,None
5842,film
5843,European championship
5844,religion
5845,None
5846,snooker tournament
5847,None
5848,traditional costume
5849,ritual
5850,None
5851,traditional costume
5852,None
5853,None
5854,cycle sport
5855,mountain
5856,None
5857,None
5858,None
5859,None
5860,None
5861,clothing
5862,None
5863,organism
5864,None
5865,clothing
5866,None
5867,None
5868,None
5869,media company
5870,None
5871,None
5872,None
5873,None
5874,None
5875,None
5876,religious movement
5877,museum
5878,None
5879,None
5880,None
5881,dance
5882,salad
5883,phenomenon
5884,None
5885,None
5886,None
5887,book
5888,Plantae
5889,dish
5890,cycling
5891,automobile manufacturer
5892,ingredient
5893,None
5894,None
5895,None
5896,None
5897,motorcycle race
5898,None
5899,perennial plant
5900,None
5901,None
5902,horror literature
5903,None
5904,None
5905,recurring sporting event
5906,art gallery
5907,record label
5908,None
5909,None
5910,sports team
5911,None
5912,theatre
5913,None
5914,traveling carnival
5915,organism
5916,actor
5917,food
5918,cult
5919,None
5920,fish
5921,None
5922,None
5923,None
5924,None
5925,None
5926,None
5927,None
5928,None
5929,None
5930,None
5931,None
5932,None
5933,None
5934,None
5935,None
5936,clothing
5937,designer
5938,None
5939,None
5940,None
5941,None
5942,instrumentalist
5943,None
5944,None
5945,None
5946,None
5947,None
5948,hand clasping
5949,visual arts
5950,film
5951,artist
5952,painting
5953,model
5954,None
5955,music festival
5956,clothing
5957,poetry
5958,None
5959,None
5960,None
5961,None
5962,None
5963,None
5964,None
5965,None
5966,monument
5967,None
5968,None
5969,None
5970,None
5971,None
5972,instrumentalist
5973,None
5974,mountain
5975,museum
5976,None
5977,ritual
5978,menhir
5979,None
5980,None
5981,None
5982,museum
5983,None
5984,visual arts
5985,poetry
5986,Roman hairstyles
5987,customary law
5988,None
5989,None
5990,None
5991,None
5992,singer
5993,actor
5994,mountain
5995,None
5996,None
5997,None
5998,magician
5999,folk dance
6000,law
6001,None
6002,ball
6003,athlete
6004,None
6005,None
6006,None
6007,column
6008,None
6009,automobile manufacturer
6010,salute
6011,None
6012,None
6013,None
6014,None
6015,Salafism
6016,motorboat
6017,None
6018,None
6019,None
6020,None
6021,intentional human activity
6022,dance
6023,sculpture
6024,None
6025,None
6026,None
6027,None
6028,None
6029,None
6030,None
6031,None
6032,None
6033,None
6034,None
6035,None
6036,artist
6037,film
6038,monument
6039,None
6040,None
6041,None
6042,None
6043,None
6044,None
6045,policy
6046,book
6047,None
6048,book
6049,government agency
6050,None
6051,sport
6052,transport
6053,vessel
6054,None
6055,natural building material
6056,gesture
6057,None
6058,None
6059,theatre
6060,None
6061,war dance
6062,film
6063,textile
6064,None
6065,writer
6066,designer
6067,None
6068,Plantae
6069,agriculture
6070,None
6071,None
6072,None
6073,None
6074,None
6075,None
6076,None
6077,None
6078,None
6079,None
6080,American hip-hop
6081,None
6082,None
6083,None
6084,None
6085,literary award
6086,comics
6087,None
6088,None
6089,tradition
6090,None
6091,None
6092,None
6093,record label
6094,fish
6095,river
6096,None
6097,modern paganism
6098,None
6099,None
6100,stereoscopy
6101,None
6102,rule
6103,policy
6104,None
6105,Animalia
6106,biologist
6107,park
6108,None
6109,None
6110,None
6111,None
6112,None
6113,None
6114,None
6115,None
6116,None
6117,None
6118,None
6119,None
6120,mill
6121,None
6122,building material
6123,athlete
6124,politician
6125,facial expression
6126,sport
6127,river
6128,None
6129,None
6130,didactic literature
6131,None
6132,None
6133,None
6134,None
6135,None
6136,None
6137,None
6138,None
6139,None
6140,adult human
6141,writer
6142,photographer
6143,poet
6144,None
6145,film
6146,national championship
6147,golf tournament
6148,None
6149,religion
6150,None
6151,food
6152,None
6153,Plantae
6154,tournament
6155,literary award
6156,world championship
6157,multi-sport event
6158,cosmopolitanism
6159,political party
6160,None
6161,international sporting event
6162,snooker tournament
6163,None
6164,None
6165,textile
6166,clothing
6167,None
6168,None
6169,None
6170,worship in Islam
6171,None
6172,None
6173,feminism
6174,Animalia
6175,Plantae
6176,None
6177,None
6178,None
6179,None
6180,None
6181,None
6182,None
6183,None
6184,government
6185,textile
6186,None
6187,None
6188,religion
6189,monotheistic religion
6190,Equus ferus caballus
6191,None
6192,None
6193,None
6194,tree
6195,None
6196,None
6197,manga
6198,None
6199,None
6200,Halachic literature
6201,spoken drama
6202,None
6203,sport
6204,None
6205,literary award
6206,None
6207,None
6208,None
6209,None
6210,None
6211,None
6212,None
6213,None
6214,folk dance
6215,dance
6216,tree
6217,None
6218,None
6219,building
6220,None
6221,None
6222,None
6223,None
6224,None
6225,None
6226,None
6227,philosophy
6228,policy
6229,criterion
6230,automobile manufacturer
6231,None
6232,None
6233,None
6234,ritual
6235,None
6236,None
6237,None
6238,None
6239,natural heritage
6240,Animalia
6241,biologist
6242,dualistic cosmology
6243,food
6244,None
6245,traditional costume
6246,None
6247,architectural structure
6248,None
6249,music of Louisiana
6250,None
